country,date,renewable_energy_consumption_percent,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population,Category
Slovak Republic,01/01/2010,10.28,5201.40489681,35432.2,43071.85402,5391428,Others
New Zealand,01/01/2010,29.37,9601.903142023,31049.3,80643.49163,4350700,Others
Tunisia,01/01/2010,12.61,1332.438371398,28321.5,39561.75848,10895063,Others
Cuba,01/01/2010,15.61,1295.700592812,28110.0,43297.94278,11290417,Others
"Yemen, Rep.",01/01/2010,0.78,238.482576708,25431.9,48104.19315,24743946,Others
Azerbaijan,01/01/2010,4.45,1603.431374065,24311.9,44320.75057,9054332,Others
Angola,01/01/2010,52.51,206.384258642,22801.5,78893.67568,23364185,Others
Trinidad and Tobago,01/01/2010,0.38,5828.56364905,21443.0,32405.93841,1410296,Others
Lebanon,01/01/2010,5.7,3020.136915009,20864.3,25240.22771,4995800,Others
Bosnia and Herzegovina,01/01/2010,19.57,3068.152716495,20842.5,26070.97531,3811088,Others
Dominican Republic,01/01/2010,16.91,1383.320265289,20680.8,32784.70389,9775755,Others
Jordan,01/01/2010,2.95,1933.270987749,20196.8,27362.05323,6931258,Others
Croatia,01/01/2010,29.75,3922.310866882,19457.3,26151.57551,4295427,Others
Estonia,01/01/2010,25.32,6506.318180965,18500.4,21672.08663,1331475,Others
Sudan,01/01/2010,61.31,179.342383401,16427.4,93567.0219,33739933,Others
Slovenia,01/01/2010,20.07,6510.841884366,15777.2,18806.32624,2048583,Others
Bolivia,01/01/2010,19.93,586.309468497,14702.2,48348.32776,10223270,Others
Mongolia,01/01/2010,4.46,1498.231280435,14311.1,32729.92206,2702520,Others
Kenya,01/01/2010,76.11,149.670401161,13424.4,59566.78403,41517895,Others
Sri Lanka,01/01/2010,61.85,450.636200679,13071.8,24596.57305,20668557,Others
Lithuania,01/01/2010,21.46,3470.78503023,12603.0,21316.66855,3097282,Others
Guatemala,01/01/2010,67.08,556.043060412,11477.6,24360.44408,14259687,Others
Luxembourg,01/01/2010,3.68,16829.962540906,11029.1,12034.51682,506953,Others
Ghana,01/01/2010,51.91,268.859259021,10382.6,23141.62425,25574719,Others
Zimbabwe,01/01/2010,82.51,599.932818116,9518.0,28228.84889,12839771,Others
Panama,01/01/2010,20.65,1754.324477449,9190.6,15393.12455,3623617,Others
Latvia,01/01/2010,33.07,3229.95106207,8518.1,12854.22932,2097555,Others
North Macedonia,01/01/2010,22.3,3601.452843887,8329.6,11251.16748,2055004,Others
Moldova,01/01/2010,20.01,2144.039486381,8295.1,12677.23059,2862354,Others
Myanmar,01/01/2010,84.93,127.351167788,8131.3,89150.32555,49390988,Others
Honduras,01/01/2010,53.63,608.098537759,7926.8,18084.03064,8450933,Others
Cyprus,01/01/2010,6.5,4516.299219429,7898.4,9208.664533,1129686,Others
Jamaica,01/01/2010,8.99,1250.230440368,7479.8,8845.542062,2733896,Others
Costa Rica,01/01/2010,40.39,1869.651416669,7105.5,13252.16003,4622252,Others
Senegal,01/01/2010,49.55,205.265376128,7026.2,22095.5606,12530121,Others
Cameroon,01/01/2010,78.74,267.581767132,7014.4,84904.12823,19878036,Others
Tanzania,01/01/2010,89.74,94.988914672,6909.9,65992.51273,45110527,Others
El Salvador,01/01/2010,32.62,866.858116916,6539.2,12188.34908,6114034,Others
Ethiopia,01/01/2010,94.11,47.435060332,6473.2,116922.7292,89237791,Others
Kyrgyz Republic,01/01/2010,25.59,1371.721213679,6394.4,12095.6822,5447900,Others
Cote d'Ivoire,01/01/2010,75.42,209.043144895,6350.6,19242.19108,21120042,Others
Uruguay,01/01/2010,53.29,2821.349433627,6283.8,35997.26408,3352651,Others
