country,date,renewable_energy_consumption_percent,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population
Myanmar,01/01/2010,84.93,127.351167788,8131.3,89150.32555,49390988
Namibia,01/01/2010,31.21,1601.031977291,3103.5,12644.0574,2099271
Nepal,01/01/2010,87.29,101.982334083,4640.9,31721.86702,27161567
Netherlands,01/01/2010,3.85,7006.273820531,171110.5,200804.2066,16615394
New Zealand,01/01/2010,29.37,9601.903142023,31049.3,80643.49163,4350700
Nicaragua,01/01/2010,54.44,503.779714038,4513.2,14606.29421,5855734
Niger,01/01/2010,80.67,43.730176880,1361.057,28101.15571,16647543
Nigeria,01/01/2010,86.46,134.349901831,90055.2,271562.9226,160952853
North Macedonia,01/01/2010,22.3,3601.452843887,8329.6,11251.16748,2055004
Norway,01/01/2010,56.71,24890.924010462,40116.4,50072.21256,4889252
Pakistan,01/01/2010,47.4,408.002904618,140378.6,323172.4462,194454498
Panama,01/01/2010,20.65,1754.324477449,9190.6,15393.12455,3623617
Paraguay,01/01/2010,63.61,1268.762525758,5043.3,39952.63228,5768613
Peru,01/01/2010,32.17,1099.708199627,44998.5,84787.4463,29229572
Philippines,01/01/2010,32.6,633.390640206,81917.8,158249.7774,94636700
Poland,01/01/2010,9.49,3797.092295587,313739.1,377248.2243,38042794
Portugal,01/01/2010,27.83,4959.094305360,50937.3,68073.96507,10573100
Qatar,01/01/2010,0.13,15393.602816218,60912.1,86697.95181,1713504
Romania,01/01/2010,24.08,2550.863291419,77601.9,106101.8782,20246871
Russian Federation,01/01/2010,3.34,6409.894365165,1617827.5,2249521.458,142849468
Saudi Arabia,01/01/2010,0.01,7435.044467842,446131.5,564852.8807,29411929
Senegal,01/01/2010,49.55,205.265376128,7026.2,22095.5606,12530121
Serbia,01/01/2010,20.47,4358.812173624,47103.9,62994.96792,7291436
Singapore,01/01/2010,0.47,8679.993350053,42413.6,55950.37906,5076732
Slovak Republic,01/01/2010,10.28,5201.404896810,35432.2,43071.85402,5391428
Slovenia,01/01/2010,20.07,6510.841884366,15777.2,18806.32624,2048583
South Africa,01/01/2010,9.65,4492.775030013,425548.4,528517.785,51784921
Spain,01/01/2010,14.39,5706.563062799,274140.6,350175.3957,46576897
Sri Lanka,01/01/2010,61.85,450.636200679,13071.8,24596.57305,20668557
Sudan,01/01/2010,61.31,179.342383401,16427.4,93567.0219,33739933
Suriname,01/01/2010,22.1,2887.855259303,1744.87,3286.180597,546080
Sweden,01/01/2010,44.7,14934.326964684,47985.5,61014.40639,9378126
Switzerland,01/01/2010,20.56,8174.408162446,45207.8,54762.18135,7824909
Syrian Arab Republic,01/01/2010,1.35,1744.012988346,61090.7,104400.8016,22337563
Tajikistan,01/01/2010,61.83,1869.773447905,2446.9,8792.343742,7621779
Tanzania,01/01/2010,89.74,94.988914672,6909.9,65992.51273,45110527
Thailand,01/01/2010,22.83,2271.449967203,240768.3,361217.6687,68270489
Togo,01/01/2010,65.81,121.274739020,2630.1,6561.714289,6571855
Trinidad and Tobago,01/01/2010,0.38,5828.563649050,21443,32405.93841,1410296
Tunisia,01/01/2010,12.61,1332.438371398,28321.5,39561.75848,10895063
Turkiye,01/01/2010,14.21,2463.859758019,297814,371145.2694,73142150
Turkmenistan,01/01/2010,0.07,2300.316820331,59175.1,151459.0477,5267970
Ukraine,01/01/2010,2.88,3549.844551236,268924.6,329151.167,45870741
United Arab Emirates,01/01/2010,0.11,10695.289934142,162788.9,207638.5913,8481771
United Kingdom,01/01/2010,3.13,5700.855864443,482646.2,594574.7842,62766365
United States,01/01/2010,7.44,13394.902755107,5392109.4,6454244.95,309327143
Uruguay,01/01/2010,53.29,2821.349433627,6283.8,35997.26408,3352651
Uzbekistan,01/01/2010,1.35,1653.467495729,126240.5,189868.2555,28562400
"Venezuela, RB",01/01/2010,13.79,3165.068095717,164101.6,409219.1125,28715022
Viet Nam,01/01/2010,34.58,1028.943584362,151413.5,257248.093,87411012
"Yemen, Rep.",01/01/2010,0.78,238.482576708,25431.9,48104.19315,24743946
Zambia,01/01/2010,88.59,582.580474049,2656.9,29281.10911,13792086
Zimbabwe,01/01/2010,82.51,599.932818116,9518,28228.84889,12839771
