country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Africa Eastern and Southern,01-01-2015,46.052387508,31.260419831,14845106.128,,11.533594296,,,33.903514647,62.128337893,,576265.992,1356434.329261,40.417927553,5.24587835,,,,,17.4297917,23.947149901,,,,,,,14.485849153,,1.57774282,932513471557.123,,,,,,,4.743500233,2.787347191,,,35.613314413,8.239618841,61.85645814,600008424,393452021,,,10.3
Africa Eastern and Southern,01-01-2016,46.15243938,31.039681541,14845113.968,,11.09685501,,,38.851443893,62.45768836,,580219.242,1370883.205748,41.520570763,6.571396422,,,,,17.095077622,22.854372538,,,,,,,15.753329823,2.578622571,1.343765622,890051427265.996,,,,,,,4.691999912,2.671429461,,,35.18901568,7.973695543,62.444050202,616377605,401294164,,,
Africa Eastern and Southern,01-01-2017,46.271150077,30.82431622,14845102.053,,10.301602408,,,40.197331868,61.89113188,,590905.482,1386782.252953,42.623254979,6.399343416,,,,,17.860797998,24.555558689,,,,,,,17.310986872,,1.448218681,1028394291260.59,,,,,,,4.820445061,2.636741342,,,34.892536215,7.773413042,62.922389623,632746570,409014341,,,
Africa Eastern and Southern,01-01-2018,46.361117623,30.61151176,14845117.143,,11.063635805,,,43.02833222,62.242631403,,598720.9575,1399770.836953,43.769081897,4.720811389,,,,,17.685474756,24.109492489,,,,,,,20.06302426,2.492222222,1.118722449,1012521425296.35,,,,,,,4.739749908,2.757440826,,,34.611022228,7.588110411,63.365862611,649757148,416834821,,,
Africa Eastern and Southern,01-01-2019,46.419374547,30.391625948,14845129.404,,10.636734857,,,44.389772833,63.387089699,,610723.5,1430850.662142,44.946929585,4.653664731,,,,,18.588662066,25.299309757,,,,,,,22.589590708,,1.07389824,1006191000190.48,,,,,,,4.541950226,2.789082715,,,34.341450196,7.434644049,63.755677918,667242986,424791846,,,
Africa Eastern and Southern,01-01-2020,46.467607649,30.17425271,14845090.094,,8.317964333,,,46.268620569,66.123448696,,544952.503,1389908.120222,46.150813142,7.321106434,,,,,,,,,,,,,24.988400868,,1.102671914,928880235176.594,,,,,,,4.35243988,2.990540781,,,33.9167457,7.620547762,63.313860331,685112979,432797498,,,
Africa Eastern and Southern,01-01-2021,46.485779314,29.95519406,14845090.094,,8.610685903,,,48.103608692,,,,,47.354182531,6.824727093,,,,,,,,,,,13.238888889,,27.660653781,,1.005496806,1086530704900.5,,,,,,,4.632254839,,,,33.546266274,8.03689904,62.454589645,702977106,440600045,,,
Central Europe and the Baltics,01-01-1990,62.753008939,27.70383351,736140,,7.112896102,,,100,4.134185354,3744.051730235,991246.4,1241992.21012,150.437590676,,,,,,,,,,,,,,0,,3.406972928,255342985523.694,,,,,,,,,,,13.548627211,11.175143347,70.656331337,110743128,42755874,,,
Central Europe and the Baltics,01-01-1991,62.712393888,27.744145331,736250,,8.486608186,,,100,4.786193355,3469.592190573,916298.1,1144843.45314,150.043418676,118.527578906,,,,,,,,,,,,,0.002122688,,2.740756476,242589999851.319,,,,,,,,,,,13.011285691,11.414637571,70.575221303,110469467,42416617,,,
Central Europe and the Baltics,01-01-1992,57.2521149,31.515461971,979597,,11.098113959,,,100,5.377440568,3217.340132481,850698.7,1066113.22169,112.404850158,150.615831957,,,,,,,,,,,,,0.023497184,,2.565342197,260007192125.902,,,,,,,,,,,12.277059683,11.421632974,70.732837131,110111454,42179934,,,
