country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
Afghanistan,01-01-2020,58.741548227,1.852781994,652230,327,9.043845496,-1.493699789,0.157480106,97.7,17.58,,8709.47,31119.04539,59.752280637,,,,,,,,-1.609509230,0.278781325,0.400284141,,,54.396666667,18.4,,1.358856927,19955929060.841,-2.702631712,0.241603479,-1.831374288,0.155655146,-1.389163017,0.214174584,,1.18621242,49.4,,36.051,7.113,62.575,38972230,28829317,-1.077688575,0.131611854,6.594439084
Africa Eastern and Southern,01-01-2020,46.467607649,30.174252710,14845090.094,,8.317964333,,,46.268620569,66.123448696,,544952.503,1389908.120222,46.150813142,7.321106434,,,,,,,,,,,,,24.988400868,,1.102671914,928880235176.594,,,,,,,4.352439880,2.990540781,,,33.916745700,7.620547762,63.313860331,685112979,432797498,,,
Africa Western and Central,01-01-2020,40.172027974,19.816777405,9045773,,9.221788275,,,51.734387968,76.102818688,,215915.61,868687.389867,51.536679287,2.437608822,,,,,,,,,,,,,41.749819072,,0.949805687,786962436538.391,,,,,,,3.403950334,0.967894024,,,36.615729791,10.601297252,57.226372731,466189102,243081107,,,
Albania,01-01-2020,42.538503650,28.791970803,27400,1485,25.688797447,-0.572924495,0.149973631,100,44.58,,4383.2,8304.29494,103.571131387,1.620886617,5.386769753,5.151666667,,83.887494536,16.983262296,24.732563752,-0.154880330,0.256462783,0.634250939,,,82.984166667,72.23767711,,1.298479116,15162734205.2462,0.088576451,0.232469827,-0.376249194,0.142738119,0.221967235,0.221013695,3.342299938,2.93465567,43.4,29.4,10.285,10.785,76.989,2837849,1075204,0.086402573,0.125125065,2.127772012
Algeria,01-01-2020,17.347004145,0.818308960,2381741,89,7.154160612,-0.666460216,0.185096666,99.718772888,0.15,,161563,266702.6795,18.243657056,2.415130941,13.715314715,5,,,,,-0.573433459,0.246358693,0.534556448,,,53.40625,63.94999611,,6.692468397,145743542982.628,-0.847814322,0.237614140,-0.800302982,0.165849134,-1.355300307,0.247676745,7.042397499,3.95616674,,,22.431,5.398,74.453,43451666,11413449,-1.087952256,0.126623094,1.505120655
Andorra,01-01-2020,39.951702128,34.042553191,470,,75.315498451,1.266005278,0.378925622,100,21.86,,448.884399,577.573639,165.319148936,,,,,,,,1.749414086,0.492229521,,,,,93.20564892,,,2891002460.29153,1.588571787,0.278692394,1.616278410,0.523291588,1.335421324,0.516059041,2.856162786,6.62333536,,,,,,77700,9389,1.086253405,0.225096971,2.574002574
Angola,01-01-2020,36.810780460,53.426951151,1246700,1010,11.689428271,-0.938672543,0.163808867,46.955444336,61.02,,19814.5,70781.0562,26.813576642,22.271564307,8.028656853,3.158858161,,,,,-1.258393884,0.226563811,0.362405390,,,58.163333333,32.55014678,,1.700178161,48501561230.001,-0.600726008,0.217306077,-0.950999379,0.159591347,-0.856853485,0.233334079,2.744996548,1.22474134,,,39.271,7.821,62.261,33428486,11089900,-0.816002846,0.123469397,
Antigua and Barbuda,01-01-2020,20.454545455,18.454545455,440,1030,60.692517651,0.238533273,0.252231359,100,0.74,,474.6,1203.631334,210.6,0.625989707,6.829130405,,,,,,-0.204486713,0.492229521,0.595703900,,,44.142083333,95.68550784,,,1410796296.2963,0.929504931,0.270491451,0.407973528,0.337146521,0.497693717,0.371042728,,3.38136292,,,12.16,5.961,78.841,92664,70023,0.742793262,0.210280597,9.712509713
Arab World,01-01-2020,39.973290478,2.808895261,13100549,,13.787773474,,,90.635050008,5.138584984,,1765052.9,2682355.871188,34.290799263,1.612222204,,,0.703875996,,,,,,,,,,66.440354859,,5.771136618,2535508549316.27,,,,,,,,3.020770084,,,24.234482598,5.616108400,70.923359587,449228296,183789991,,,
Argentina,01-01-2020,43.029265171,10.440714878,2736690,591,5.578817238,-0.163780659,0.143402383,100,9.84,,154535.9,361433.0173,16.580892611,,-7.635174216,,0.541540027,,10.865896382,25.840530764,-0.253818214,0.231793165,0.602144718,,,65.2775,85.51438646,,0.734492612,385740508436.965,-0.072026245,0.226481333,-0.487334788,0.146567494,-0.498344272,0.202663422,5.279640198,6.6165266,,42.7,14.125,8.509,75.892,45376763,3579773,0.585294366,0.127261952,5.366813844
Armenia,01-01-2020,58.868984896,11.537407798,28470,562,16.458521269,-0.003438700,0.157668769,100,8.38,,6746.6,10422.04117,98.546118721,1.211435778,9.639110340,5.797729686,0.209199995,63.401214007,21.860419276,26.581287778,-0.304616541,0.249917418,0.578998804,,7.2,82.938333333,76.50770055,,4.982543724,12641698583.2152,-0.771642268,0.237614140,-0.125852257,0.149982378,0.238748029,0.233334079,2.705559969,2.35682821,19.1,25.1,12.455,12.792,72.173,2805608,1029293,0.047159709,0.130757630,1.853430370
Australia,01-01-2020,46.252479843,17.421314557,7692020,534,6.715293028,1.632955909,0.151016146,100,10.89,,378996.8,571903.1199,3.334526951,0.846905537,,,,69.219055950,22.557515426,30.210450681,1.573775530,0.253219694,0.770239532,,,85.727916667,96.39446689,,2.010640099,1330381544909.3,0.861676931,0.208693087,1.614245057,0.152624100,1.813946962,0.233886927,5.608449936,7.99613142,,,11.5,6.3,83.2,25649248,3529080,1.298030496,0.140298322,0.860925459
Austria,01-01-2020,31.539813379,47.250969462,82520,1110,27.738147236,1.477789164,0.149796650,100,35.77,,59142.4,71017.8287,108.057004363,1.381910634,,,3.201489925,99.909697973,24.415139802,50.574651172,1.606263638,0.231866837,0.746739745,,,89.779166667,87.52942813,,0.884127145,435049316955.737,0.887528837,0.226481333,1.770163417,0.150381744,1.395227313,0.233886927,5.569009781,8.763134,17.5,29.8,9.4,10.3,81.192682927,8916864,3678385,1.394437790,0.111107700,0.729699453
Azerbaijan,01-01-2020,57.838249885,13.694189676,82646,447,19.163301568,-1.077084064,0.164010197,100,1.23,,34305,55351.99383,122.124736829,2.759809470,26.536821284,,0.223900005,22.189999463,15.185572507,33.931476575,-0.155563846,0.271498591,0.577767551,,,70.867083333,84.59999573,,5.390494994,42693000000,-0.852247477,0.237614140,-0.730720103,0.154000342,-0.336040139,0.237654984,4.332049847,1.58928382,,,12.5,7.5,66.868,10093121,4400904,-1.541516423,0.129524559,2.236277062
"Bahamas, The",01-01-2020,1.298701299,50.935064935,10010,1292,27.103772946,1.106205940,0.183201149,100,1.41,,2456,2801.144379,40.606493506,0.038521098,6.753465840,2.454366667,,83.972894883,19.050099102,27.453558547,0.405644178,0.317806572,,,,48.143333333,92.4760204,,,9754600000,0.830237448,0.232469827,0.023263842,0.166155353,0.001366154,0.256939679,2.866807222,4.59830189,,,11.49,8.076,72.677,406471,68104,0.915464580,0.158757418,17.959438731
Bahrain,01-01-2020,10.318471338,0.891719745,785,83,61.087896444,-0.093593940,0.192951337,100,0,,32470.2,54151.41004,1882.126114650,-2.317706293,,,,,,,0.390768141,0.256462783,0.652472019,,,60.0125,99.67103159,,4.045649510,34621807712.766,-0.610109270,0.237614140,0.455399364,0.168031543,0.614857495,0.242797241,2.552374601,2.96118394,,,12.621,2.239,79.174,1477469,155046,-1.453301787,0.143680483,0
Bangladesh,01-01-2020,76.269493739,14.468771606,130170,2666,3.729971490,-1.003677249,0.142335027,96.2,27.96,,85493.1,206570.3527,1286.171552585,5.691074747,4.289204994,3.527705556,,,7.001536744,8.148320246,-0.779725730,0.239954218,0.464036435,,,61.802916667,32.87,,1.244689509,373902197869.16,-0.915807784,0.232469827,-0.567928970,0.148829639,-0.906213522,0.200522900,1.765280604,0.47426897,,,18.053,5.816,71.968,167420951,103504655,-0.769557953,0.127704129,
Barbados,01-01-2020,23.255813953,14.651162791,430,1422,,1.194066882,0.180979639,100,4.57,,1096.07,3656.467698,652.774418605,,6.270400942,7.55,,,,,0.444022268,0.311764777,,,,,82.458446,,,4738800000,1.120577455,0.241603479,0.296676338,0.162508383,0.467795849,0.273162842,4.202179909,3.74926305,,,10.859,8.973,77.393,280693,193142,1.125459075,0.155643702,14.606705547
