GDP_per_capita,country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides
3679.952347404,Armenia,01-01-2016,58.897084651,11.566912540,28470,562,31.044148979,-0.659123719,0.148132145,99.8,13.15,,5066.7,9415.287058,100.661573586,-1.403607559,17.042359508,7.525504448,0.233050004,,21.277375276,25.711518158,-0.311781496,0.209478080,,,,79.071666667,64.34602977,2.205513,4.090349217,10546136235.5219,-0.667951107,0.210856497,-0.160720766,0.173993856,0.205158383,0.204867110,2.758120060,1.63734329,27.8,32.5,14.504,9.634,74.664,2865835,1058009,-0.579242349,0.128810465,3.035764446
4041.995071051,Armenia,01-01-2017,58.872497366,11.559536354,28470,562,33.693060549,-0.636488140,0.133002043,99.7,12.56,,5371.3,9251.278735,100.172918862,0.969553269,11.997339958,7.677893342,0.227880001,,20.780653359,22.629724992,-0.251172304,0.209040567,0.572,,,81.37625,64.74488433,,3.849730577,11527458709.0158,-0.626211226,0.219212145,-0.209941223,0.159550935,0.228407964,0.215175807,2.707590103,1.37250602,25.8,33.6,13.606,9.664,74.906,2851923,1052274,-0.560794771,0.130534723,2.454484220
4391.923269915,Armenia,01-01-2018,58.914646997,11.552160169,28470,562,35.270090102,-0.408891350,0.139696091,99.9,11.13,,5712.2,9443.729713,99.633192835,2.520233820,9.733977399,6.574650261,0.188759997,,20.870103903,22.076813756,-0.170385882,0.220806867,0.581725955,,,82.390416667,68.24505226,2.61,4.119886153,12457940694.7395,-0.451120526,0.217243075,-0.197333530,0.152271360,0.350590289,0.214424282,2.255867958,1.23468125,23.6,34.4,13.307,9.75,75.064,2836557,1045300,-0.130894393,0.133988872,1.762700344
4505.867741757,Armenia,01-01-2020,58.868984896,11.537407798,28470,562,16.458521269,-0.003438700,0.157668769,100,8.38,,6746.6,10422.04117,98.546118721,1.211435778,9.639110340,5.797729686,0.209199995,63.401214007,21.860419276,26.581287778,-0.304616541,0.249917418,0.578998804,,7.2,82.938333333,76.50770055,,4.982543724,12641698583.2152,-0.771642268,0.237614140,-0.125852257,0.149982378,0.238748029,0.233334079,2.705559969,2.35682821,19.1,25.1,12.455,12.792,72.173,2805608,1029293,0.047159709,0.130757630,1.853430370
46903.761585434,Austria,01-01-2010,33.679108095,46.815317499,82520,1110,23.318470365,1.596122026,0.153291345,100,31.15,8382.711154453,69965.1,83550.95772,101.350024237,1.813534390,,,2.726099968,85.786269827,25.281635506,46.426809713,1.812521100,0.218765646,0.737782121,,,,75.17,3.76,0.821232712,392275107258.667,1.152648211,0.239330947,1.801202655,0.154795170,1.450515866,0.235530734,5.700479984,7.39957857,18.9,30.3,9.4,9.2,80.580487805,8363404,3562894,1.430290699,0.146318108,0.729418239
51442.276246441,Austria,01-01-2011,33.413717887,46.858919050,82520,1110,24.029145050,1.470289350,0.145538986,100,31.64,8425.167753204,68276,81738.65126,101.692232186,3.286579149,,,2.668679953,85.696507379,25.427985276,45.507687035,1.602885246,0.214328021,,,,,78.7399931,,0.790897558,431685217367.511,1.193521619,0.238522351,1.798963070,0.142541185,1.376976848,0.218365118,5.592269897,7.28789806,19.2,30.8,9.3,9.1,80.982926829,8391643,3598756,1.402443647,0.139199272,0.917628046
48564.917335087,Austria,01-01-2012,33.145904023,46.902520601,82520,1110,24.919476106,1.427254438,0.136289701,100,34.37,8548.882199281,65112,78292.56689,102.156943771,2.485675622,,,2.914720058,90.600387807,25.928197641,46.145048546,1.560189724,0.210567564,,,,,80.02999392,3.89,0.778464251,409401816050.531,1.340566874,0.219665527,1.857123733,0.150717080,1.517164707,0.225645676,5.480400085,7.43251085,18.5,30.5,9.4,9.4,80.936585366,8429991,3612504,1.448773026,0.133328661,0.960895526
50731.127254185,Austria,01-01-2013,32.918080465,46.946122152,82520,1110,26.875655644,1.537240982,0.136826456,100,34.58,8509.611580336,65752.7,78909.03381,102.760821619,2.000156169,,,2.954920053,87.696599243,26.415173094,46.621622289,1.571911097,0.201958790,,,,,80.6188,,0.750825383,430190979705.962,1.364100575,0.225787356,1.834038258,0.150542721,1.482213736,0.222408786,5.547110081,7.4231286,18.8,30.8,9.4,9.4,81.136585366,8479823,3617832,1.456567407,0.130399287,0.719378730
51786.377174791,Austria,01-01-2014,32.891420262,46.989723703,82520,1110,27.979092375,1.466749072,0.131766394,100,35.67,8355.841951821,62054.5,75143.18762,103.567086767,1.605811830,,,3.084290028,95.799629274,26.417898311,47.501187692,1.553622246,0.211063221,,,,,80.99582496,3.648587,0.747780095,442584815286.034,1.270700455,0.192247406,1.938500404,0.161937550,1.482170105,0.228099748,5.447619915,7.51863861,19.2,30.5,9.6,9.2,81.490243902,8546356,3629979,1.391349435,0.142199576,0.491454225
44195.817594775,Austria,01-01-2015,32.942922928,47.033325254,82520,1110,27.954980513,1.472380042,0.131919384,100,34.82,,63254.7,76429.62374,104.734597673,0.896563335,,,3.049690008,95.084265881,26.826167416,46.268451003,1.451450586,0.213573903,,,,,83.94014193,,0.698116413,381971148530.543,1.129330516,0.196433380,1.814850807,0.157468289,1.390447021,0.218712881,5.456580162,7.51185322,18.3,30.5,9.8,9.6,81.190243902,8642699,3654565,1.383552909,0.144884914,0.509116601
45307.587862043,Austria,01-01-2016,32.357852642,47.076951042,82520,1110,28.087309790,1.496968031,0.137088075,100,34.63,,63697.1,76780.91177,105.873339796,0.891591753,,,3.116549969,94.694636962,25.419169233,44.996784887,1.475354910,0.208868816,,,,87.98875,84.32374257,4.097985,0.729737692,395837353031.499,0.892175972,0.203295976,1.761596799,0.168872342,1.428890109,0.227201536,5.479619980,7.49085999,18,30.8,10,9.2,81.641463415,8736668,3677700,1.337476611,0.141870707,0.618097447
47429.158456439,Austria,01-01-2017,32.169413476,47.120455647,82520,1110,29.471540453,1.500462890,0.125844866,100,33.97,,65867.7,78699.13623,106.611318468,2.081269114,,,3.056560040,89.405408847,25.422226176,44.329887110,1.467408299,0.208749488,0.793,,,87.89625,87.93558659,,0.757279034,417261151844.977,1.029623389,0.209813088,1.799017429,0.158714339,1.427534103,0.220789850,5.371590137,7.66504908,18.1,29.7,10,9.5,81.643902439,8797566,3686708,1.385919213,0.121724494,0.795680953
51466.556563363,Austria,01-01-2018,32.147721764,47.163960252,82520,1110,30.757587871,1.568366051,0.135948211,100,34.08,,63131.4,75582.15688,107.131858943,1.998379814,,,3.091820002,84.215491885,25.417502122,43.724710374,1.456104994,0.209096208,0.768673122,,,89.505,87.47913723,4.03,0.745028040,454991174096.102,0.884671748,0.208318025,1.853449583,0.152301222,1.524036407,0.222046480,5.226550102,7.705019,17.5,30.8,9.7,9.5,81.692682927,8840521,3686762,1.399156690,0.123570561,0.972794281
