country,access_to_electricity%,individuals_using_internet%
High income,99.93803923227273,80.49700567390909
Low & middle income,84.77420774945455,33.92236356318182
Low income,34.56406720636364,9.649042074454545
Lower middle income,81.84149524927273,23.183346064363636
Middle income,90.02515384618182,36.24913036654545
