country,GDP_current_US,inflation_annual%,tax_revenue%,central_goverment_debt%,real_interest_rate,government_expenditure_on_education%
Australia,1340169748431.7683,1.5171799051496209,22.55456826321465,56.360842001025816,3.758742730400902,5.267948309580487
Brazil,1821291666885.0732,5.304168738625328,13.557079924865468,83.75142995852855,33.74118332884424,6.116509993871055
Canada,1643084718137.3984,1.514229894231363,12.800182647439234,57.924280134018495,1.9230636421622334,4.844271659851075
China,12911333034972.318,2.070601348301032,8.925888229634024,,2.5086549186414433,3.649816910425822
France,2612424974999.7183,0.7814501418410057,23.869306561102217,105.32190405461004,,5.462391694386799
Germany,3711606073667.275,0.973062414838807,11.270717821498566,,,5.041650056838988
India,2543331802132.4033,4.57918868918335,11.280579799525526,47.9261455053942,5.929543486102986,4.23824612299601
Japan,4932317922417.134,0.4308492509324228,,198.73751766518265,0.24763197930735534,3.1926960547765084
