country,date,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,GDP per capita
Brunei Darussalam,2016-01-01,2.5426944971537,72.1062618595825,5270.0,2722.0,19.0765105336004,0.530952453613281,0.189315676689148,100.0,0.01,,6968.5,9101.755241,80.8337760910816,-0.278693265753083,16.1483169696267,,,,,,1.04898059368134,0.235678374767303,,,,,90.0,2.870492,3.53938463904119,11400466356.3898,1.14201784133911,0.21085649728775,0.534906089305878,0.203333169221878,0.580995678901672,0.270273894071579,4.42540979385376,2.42138696,,,16.054,4.42,74.733,425994.0,98021.0,-0.900963008403778,0.159908801317215,,26762.035043662116
Brunei Darussalam,2017-01-01,2.5426944971537,72.1062618595825,5270.0,2722.0,14.8451651142014,0.675776422023773,0.16289259493351,100.0,0.01,,7290.2,9558.74396,81.6462998102467,-1.2605056462896,0.520524537514073,,,,,,1.10762357711792,0.238046899437904,,,,,94.86669164,,2.86512850957169,12128183904.4501,1.1534252166748,0.219212144613266,0.617958605289459,0.187971293926239,0.703587353229523,0.259745568037033,,2.14750528,,,15.544,4.556,74.722,430276.0,97621.0,-0.948658406734467,0.161849334836006,,28186.986735142327
Brunei Darussalam,2018-01-01,2.5426944971537,72.1062618595825,5270.0,2722.0,15.8165011061153,0.761487543582916,0.177278771996498,100.0,0.01,,7540.0,9852.95828,82.4049335863378,1.02505179290212,-3.40231082388847,,0.277630001306534,,,,1.21318626403809,0.24063965678215,,,,,95.0,2.71,2.63661248533021,13566937673.7966,1.2358136177063,0.217243075370789,0.598773419857025,0.177400499582291,0.676745414733887,0.260309964418411,,2.29566693,,,15.05,4.7,74.712,434274.0,97151.0,-0.85771518945694,0.164985671639442,,31240.501788724632
Brunei Darussalam,2019-01-01,2.5426944971537,72.1062618595825,5270.0,2722.0,17.9967625345619,0.768578290939331,0.200502768158913,100.0,0.01,,7057.8,9392.1572,83.1210626185958,-0.390522069165529,9.13889075270406,,,,,,1.2790025472641,0.250007599592209,,66.0,,,95.0,,3.07858724948281,13469235364.7032,1.11096370220184,0.234910249710083,0.587054789066315,0.18130461871624,0.624943494796753,0.258156448602676,,2.07140136,,,14.585,4.834,74.748,438048.0,96625.0,-0.967720568180084,0.156160965561867,,30748.30923712287
Brunei Darussalam,2020-01-01,2.5426944971537,72.1062618595825,5270.0,2722.0,12.9709983595629,1.24822545051575,0.222938165068626,100.0,0.01,,9588.0,11914.03262,83.8187855787476,1.94031996607184,18.3581443058536,,,,,,1.38349044322968,0.317806571722031,0.626391351222992,,,60.86,96.06912594,,3.63429176862407,12005799653.9835,1.18799841403961,0.237614139914513,0.897616624832153,0.17837056517601,0.904901444911957,0.293121486902237,,2.25119257,,,14.165,4.975,74.795,441725.0,96075.0,-0.931005954742432,0.164851427078247,,27179.352886939836
Brunei Darussalam,2021-01-01,2.5426944971537,72.1062618595825,5270.0,,7.83374470869962,1.21635782718658,0.25304713845253,100.0,,,,,84.5110056925996,1.73341388450593,-8.63105577046672,,,,,,1.40679204463959,0.326989859342575,,,,64.055,98.08,,3.23636748209722,14006496617.4458,1.17165172100067,0.239949867129326,0.861208200454712,0.194232016801834,0.987135231494904,0.290155380964279,,,,,13.8,5.211,74.642,445373.0,95515.0,-0.848819255828857,0.168558537960052,,31448.91274829368
Brunei Darussalam,2022-01-01,,,,,8.45945053680532,1.17481958866119,0.249227240681648,,,,,,,3.68225030604216,-15.0814717318586,,,,,,1.4222446680069,0.327443838119507,,,,64.395,,,2.3696474066313,16681536466.7183,1.25736796855927,0.239937707781792,0.934209585189819,0.20498126745224,1.06704342365265,0.289234340190887,,,,,,,,449002.0,94946.0,-0.816516160964966,0.162584155797958,,37152.47697497628
Cambodia,2000-01-01,27.0224337185588,61.0752322682982,176520.0,1904.0,20.6885954833985,-0.967182695865631,0.257387638092041,16.6,81.58,32.8414243573292,1963.0,19379.775,68.65420915477,-0.791992529473567,,,,,,,-0.897491276264191,0.266331732273102,,,,,0.04702264,,2.20981320983564,3654031716.39855,-0.776030659675598,0.377755850553513,-1.08395493030548,0.18568029999733,-0.159286215901375,0.314506620168686,1.66681003570557,1.2926054,,,27.562,9.273,58.625,12118841.0,9866433.0,-0.78078281879425,0.229156211018562,4.71167168543593,301.51659852609254
Cambodia,2001-01-01,27.7022433718559,60.9665930206209,176520.0,1904.0,21.8846792517121,,,9.52857398986816,80.51,36.7152658995743,2152.6,19390.02034,69.8968502152731,-0.600648300123686,,,,,,,,,,,,,0.076956056,,1.77481053144373,3984000517.07441,,,,,,,1.72221994400024,1.1849401,,,26.924,8.667,59.966,12338192.0,10030580.0,,,3.29870049031495,322.8998638596652
Cambodia,2002-01-01,28.3254022207115,60.8579537729436,176520.0,1904.0,22.868728210238,-0.990784227848053,0.224059671163559,13.1091279983521,80.97,50.6297714678789,2210.9,19829.20737,71.1634885565375,0.211466568022607,,,0.0498000010848045,,8.17291127383526,9.38058683336023,-0.807996273040771,0.214898318052292,,,,,0.226983238,,1.51961740524652,4284028482.51213,-0.72216534614563,0.337325215339661,-1.16286170482635,0.200902655720711,-0.195335179567337,0.252458959817886,1.71121001243591,1.40065992,,,26.434,8.149,61.226,12561779.0,10197652.0,-0.740299761295319,0.176310837268829,3.38327888841536,341.0367657727564
